seller_ID	num_faces	face_proximity
0KrB0K2kOX	0	
0KrB1vPYoX	1	0.02
0KrB4AdxOX	1	0.12
0KrB6zNdrX	0	
0KrB87E0OX	1	0.25
0KrB8V4QOX	0	
0KrB8lWQOX	0	
0KrBDX4xOX	0	
0KrBDnq9OX	0	
0KrBDpJQOX	0	
0KrBGVGYRX	1	0.12
0KrBK4e0RX	0	
0KrBK7m4RX	0	
0KrBKqlYRX	2	
0KrBKwZ4RX	0	
0KrBL19LOX	0	
0KrBNaM9rX	1	0.25
0KrBP8lkOX	1	0.11
0KrBYBd0oX	0	
0KrBZMmxrX	2	
0KrBadX0oX	0	
0KrBb29xrX	1	0.01
0KrBdydOXa	1	0.45
0KrBeVJLoX	1	0.28
0KrBlJ3kOX	1	0.24
0KrBmGjQoX	0	
0KrBn5jJrX	1	0.27
0KrBpKNQOX	1	0.22
0KrBpPlYOX	0	
0KrBpb24OX	2	
0KrBqQLLoX	1	0.53
0KrBw2KQRX	1	0.52
0KrBwA5wRX	0	
0KrBx0xwOX	1	0.31
0KrByBa0oX	0	
14Og0AJoEW	0	
14Og0lx9oE	0	
14Og214bRE	0	
14Og2LEYRE	1	0.51
14Og2W7JRE	0	
14Og3En5OE	1	0.38
14Og7qxjOE	0	
14Og8zLoEW	0	
14Og9Ml9rE	0	
14OgBZ9JRE	0	
14OgBaN5RE	3	
14OgBjkLRE	1	0.17
14OgE8MYrE	1	0.02
14OgG27JOE	1	0.65
14OgGq6bOE	0	
14OgJMPbRE	0	
14OgJZ4qRE	1	0.32
14OgKQABOE	0	
14OgKl7qOE	0	
14OgMGaPrE	0	
14OgNWyWRE	0	
14OgPgQJoE	0	
14OgPgkLoE	0	
14OgQW8jrE	1	0.27
14OgWpK5OE	0	
14Ogb1pbRE	0	
14OgbE39RE	1	0.07
14OgbJL5RE	1	0.22
14OgdYZjoE	1	0.06
14OggJDjOE	0	
14Ogjx19RE	1	0.35
14Ogk2MWOE	1	0.14
14Ogn2qJRE	1	0.17
14OgnxLBRE	1	0.24
14OgqK5WrE	0	
14OgqyNbrE	0	
14Ogx6GLoE	1	0.49
14Ogx9kYoE	0	
14OgxGwjoE	1	0.25
14OgzgLBRE	0	
1VRj0EL2oz	1	0.84
1VRj15yVrz	1	0.31
1VRj1NDqrz	0	
1VRj2xDKRz	0	
1VRj3kz4Oz	2	
1VRj48zZoz	0	
1VRj4PNnoz	0	
1VRj4qa9oz	0	
1VRj58zGrz	0	
1VRj5PNZrz	0	
1VRj6N24Rz	0	
1VRj8pKZoz	1	0.22
1VRjAK88rz	0	
1VRjAVZrz2	0	
1VRjDj02oz	1	0.41
1VRjGE59Oz	1	0.17
1VRjGKLKOz	1	0.23
1VRjKz89Oz	1	0.31
1VRjMnB9rz	0	
1VRjWmk8Oz	0	
1VRjXY2oz2	1	0.22
1VRjXdLKoz	1	0.07
1VRjYmnVrz	0	
1VRjdw7Koz	0	
1VRje3W8rz	0	
1VRjgmmnOz	1	0.25
1VRjkL89Oz	2	
1VRjkPn4Oz	1	0.31
1VRjlZVZoz	1	0.16
1VRjmvmGrz	1	0.25
1VRjnyd9Rz	1	0.27
1VRjpMp8oz	1	0.08
1VRjqBpKrz	0	
1VRjv5DqRz	1	0.14
1VRjw8WVOz	1	0.27
1VRjxw3Goz	2	
1VRjz2Z8Rz	0	
1VRjzwB8Rz	0	
1oZ00eJARK	1	0.25
1oZ00w15RK	0	
1oZ012elRK	0	
1oZ017BxRK	0	
1oZ03EgGRK	0	
1oZ03K33RK	0	
1oZ07176RK	0	
1oZ077EARK	0	
1oZ07b13RK	0	
1oZ0J8LGRK	0	
1oZ0JG5xRK	0	
1oZ0N5gARK	0	
1oZ0NbxnRK	1	0.27
1oZ0NqD3RK	1	0.35
1oZ0V2EARK	1	0.02
1oZ0eebxRK	1	0.52
1oZ0gjKWRK	0	
1oZ0glZdRK	2	
1oZ0gpX6RK	1	0.35
1oZ0kK63RK	0	
1oZ0kKLxRK	1	0.25
1oZ0negWRK	1	0.12
1oZ0p3VGRK	1	0.04
1oZ0p7g6RK	0	
1oZ0pJ8nRK	1	0.1
1oZ0pKZnRK	1	0.13
1oZ0pWm3RK	0	
1oZ0pmVnRK	0	
1oZ0vGk5RK	1	0.15
1oZ0vjWlRK	0	
1oZ0wM3GRK	1	0.01
1oZ0y83WRK	3	
1oZ12DxGOK	0	
1oZ12mD3OK	0	
1oZ12neAOK	2	
1oZ14jaGOK	1	0.01
1oZ16e8nOK	1	0.22
1oZ1894AOK	0	
1oZ18WxAOK	0	
1oZ1EgklOK	0	
1oZ1Ez3AOK	1	0.01
1oZ1J03AOK	0	
1oZ1J766OK	0	
1oZ1JnJWOK	1	0.31
1oZ1KE4WOK	0	
