seller_ID	num_faces	face_proximity
0KrB1vPYoX	1	0.49
0KrB4AdxOX	1	0.71
0KrB87E0OX	0	
0KrBGVGYRX	1	0.49
0KrBNaM9rX	1	0.49
0KrBP8lkOX	1	0.49
0KrBb29xrX	1	0.34
0KrBdydOXa	1	0.49
0KrBeVJLoX	1	0.49
0KrBlJ3kOX	1	0.49
0KrBn5jJrX	1	0.49
0KrBpKNQOX	1	0.49
0KrBqQLLoX	1	0.49
0KrBw2KQRX	1	0.34
0KrBx0xwOX	1	0.49
14Og2LEYRE	1	0.71
14Og3En5OE	1	0.49
14OgBjkLRE	1	0.49
14OgE8MYrE	1	0.49
14OgG27JOE	1	0.49
14OgJZ4qRE	1	0.49
14OgQW8jrE	1	0.49
14OgbE39RE	1	0.49
14OgbJL5RE	1	0.49
14OgdYZjoE	1	0.49
14Ogjx19RE	1	0.49
14Ogk2MWOE	1	0.49
14Ogn2qJRE	1	0.49
14OgnxLBRE	1	0.49
14Ogx6GLoE	1	0.49
14OgxGwjoE	1	0.49
1VRj0EL2oz	1	0.34
1VRj15yVrz	1	0.49
1VRj8pKZoz	1	0.49
1VRjDj02oz	1	0.49
1VRjGE59Oz	1	0.71
1VRjGKLKOz	1	0.49
1VRjKz89Oz	1	0.49
1VRjXY2oz2	1	0.49
1VRjXdLKoz	1	0.49
1VRjgmmnOz	1	0.49
1VRjkPn4Oz	1	0.49
1VRjlZVZoz	1	0.49
1VRjmvmGrz	1	0.49
1VRjnyd9Rz	1	0.49
1VRjpMp8oz	1	0.49
1VRjv5DqRz	1	0.71
1VRjw8WVOz	1	0.49
1oZ00eJARK	1	0.49
1oZ0NbxnRK	1	0.49
1oZ0NqD3RK	1	0.49
1oZ0V2EARK	1	0.49
1oZ0eebxRK	1	0.71
1oZ0gpX6RK	1	0.49
1oZ0kKLxRK	1	0.49
1oZ0negWRK	0	
1oZ0p3VGRK	1	0.49
1oZ0pJ8nRK	1	0.49
1oZ0pKZnRK	1	0.49
1oZ0vGk5RK	1	0.49
1oZ0wM3GRK	0	
1oZ14jaGOK	1	0.49
1oZ16e8nOK	1	0.49
1oZ1Ez3AOK	1	0.49
1oZ1JnJWOK	1	0.49
1oZ1L8zgOK	1	0.71
1oZ1Lnq3OK	1	0.49
1oZ1MJG6OK	1	0.49
1oZ1NbWdOK	1	0.49
1oZ1QxdnOK	1	0.49
1oZ1VLeGOK	1	0.49
