seller_ID	quality
0KrB0K2kOX	28.54
0KrB1vPYoX	27.28
0KrB4AdxOX	30.11
0KrB6zNdrX	48.42
0KrB87E0OX	-2.1
0KrB8V4QOX	46.26
0KrB8lWQOX	30.46
0KrBDX4xOX	21.74
0KrBDnq9OX	32.97
0KrBDpJQOX	17.97
0KrBGVGYRX	34.01
0KrBK4e0RX	52.29
0KrBK7m4RX	19.13
0KrBKqlYRX	46.9
0KrBKwZ4RX	24.76
0KrBL19LOX	24.01
0KrBNaM9rX	17.53
0KrBP8lkOX	44.58
0KrBYBd0oX	27.01
0KrBZMmxrX	6.03
0KrBadX0oX	35.06
0KrBb29xrX	52.66
0KrBdydOXa	47.57
0KrBeVJLoX	6.04
0KrBlJ3kOX	49.89
0KrBmGjQoX	9.62
0KrBn5jJrX	16.52
0KrBpKNQOX	18.1
0KrBpPlYOX	-1.74
0KrBpb24OX	25.1
0KrBqQLLoX	11.17
0KrBw2KQRX	41.23
0KrBwA5wRX	22.33
0KrBx0xwOX	33.61
0KrByBa0oX	-0.76
14Og0AJoEW	25.18
14Og0lx9oE	29.05
14Og214bRE	27.79
14Og2LEYRE	18.63
14Og2W7JRE	19.91
14Og3En5OE	24.09
14Og7qxjOE	5.56
14Og8zLoEW	18.93
14Og9Ml9rE	33.91
14OgBZ9JRE	21.59
14OgBaN5RE	19.25
14OgBjkLRE	21.62
14OgE8MYrE	57.17
14OgG27JOE	30.64
14OgGq6bOE	22.2
14OgJMPbRE	33.84
14OgJZ4qRE	31.87
14OgKQABOE	
14OgKl7qOE	54.17
14OgMGaPrE	20.03
14OgNWyWRE	34.45
14OgPgQJoE	42.73
14OgPgkLoE	48.33
14OgQW8jrE	20.33
14OgWpK5OE	17.18
14Ogb1pbRE	25.27
14OgbE39RE	33.82
14OgbJL5RE	54.03
14OgdYZjoE	12.52
14OggJDjOE	41.73
14Ogjx19RE	32.06
14Ogk2MWOE	27.17
14Ogn2qJRE	27.87
14OgnxLBRE	63.66
14OgqK5WrE	15.13
14OgqyNbrE	43.49
14Ogx6GLoE	30.48
14Ogx9kYoE	49.87
14OgxGwjoE	5.3
14OgzgLBRE	20.92
1VRj0EL2oz	43.18
1VRj15yVrz	26.21
1VRj1NDqrz	60.34
1VRj2xDKRz	41.4
1VRj3kz4Oz	18.08
1VRj48zZoz	79.93
1VRj4PNnoz	21.74
1VRj4qa9oz	60.6
1VRj58zGrz	48.41
1VRj5PNZrz	2.73
1VRj6N24Rz	33.31
1VRj8pKZoz	46.76
1VRjAK88rz	29.99
1VRjAVZrz2	9.05
1VRjDj02oz	22.92
1VRjGE59Oz	50.45
1VRjGKLKOz	11.05
1VRjKz89Oz	42.59
1VRjMnB9rz	28.48
1VRjWmk8Oz	29.72
1VRjXY2oz2	22.0
1VRjXdLKoz	43.29
1VRjYmnVrz	16.53
1VRjdw7Koz	29.16
1VRje3W8rz	53.35
1VRjgmmnOz	19.75
1VRjkL89Oz	22.69
1VRjkPn4Oz	53.67
1VRjlZVZoz	31.71
1VRjmvmGrz	27.05
1VRjnyd9Rz	25.43
1VRjpMp8oz	30.0
1VRjqBpKrz	27.65
1VRjv5DqRz	28.23
1VRjw8WVOz	37.04
1VRjxw3Goz	6.7
1VRjz2Z8Rz	15.7
1VRjzwB8Rz	14.26
1oZ00eJARK	30.29
1oZ00w15RK	47.16
1oZ012elRK	24.52
1oZ017BxRK	60.19
1oZ03EgGRK	49.37
1oZ03K33RK	34.73
1oZ07176RK	57.44
1oZ077EARK	33.19
1oZ07b13RK	38.77
1oZ0J8LGRK	78.2
1oZ0JG5xRK	28.56
1oZ0N5gARK	19.72
1oZ0NbxnRK	23.43
1oZ0NqD3RK	30.04
1oZ0V2EARK	25.77
1oZ0eebxRK	2.9
1oZ0gjKWRK	53.02
1oZ0glZdRK	35.58
1oZ0gpX6RK	57.43
1oZ0kK63RK	26.2
1oZ0kKLxRK	52.03
1oZ0negWRK	60.51
1oZ0p3VGRK	26.71
1oZ0p7g6RK	53.41
1oZ0pJ8nRK	26.06
1oZ0pKZnRK	8.83
1oZ0pWm3RK	40.01
1oZ0pmVnRK	31.32
1oZ0vGk5RK	47.82
1oZ0vjWlRK	16.53
1oZ0wM3GRK	28.27
1oZ0y83WRK	13.52
1oZ12DxGOK	48.15
1oZ12mD3OK	31.53
1oZ12neAOK	26.8
1oZ14jaGOK	16.35
1oZ16e8nOK	-4.17
1oZ1894AOK	33.85
1oZ18WxAOK	5.4
1oZ1EgklOK	20.85
1oZ1Ez3AOK	24.25
1oZ1J03AOK	54.4
1oZ1J766OK	6.55
1oZ1JnJWOK	39.68
1oZ1KE4WOK	23.11
1oZ1KVz3OK	42.15
1oZ1L8zgOK	15.61
1oZ1Lnq3OK	42.87
1oZ1MJG6OK	76.98
1oZ1NbWdOK	51.73
1oZ1QxdnOK	29.7
1oZ1VLeGOK	18.29
1oZ1WLn6OK	22.28
1oZ1ZQq5OK	25.95
1oZ1Za4nOK	70.6
1oZ1bNQWOK	33.83
1oZ1bdzxOK	32.59
1oZ1jebnOK	22.68
1oZ1jjLdOK	35.32
1oZ1jv3AOK	14.17
1oZ1k01GOK	24.9
1oZ1kDJgOK	58.0
1oZ1qaggOK	20.28
1oZ1vn0nOK	27.68
1oZ1wEKGOK	23.4
1oZ1wWW3OK	52.94
1oZ1xKgxOK	38.49
1oZ1yvzdOK	13.35
1oZ1zlxWOK	53.44
1oZ31E2GrK	28.87
1oZ31J9grK	29.82
1oZ35NqnrK	11.99
1oZ35wwdrK	23.41
1oZ36w7nrK	40.39
1oZ3712GrK	17.52
1oZ38wxdrK	53.53
1oZ3AxPgrK	27.53
1oZ3Bn95rK	35.72
1oZ3Bp6nrK	2.89
1oZ3JZ26rK	29.6
1oZ3KqblrK	6.74
1oZ3PxdGrK	17.72
1oZ3XA4drK	40.56
1oZ3XPzWrK	58.77
1oZ3bB93rK	14.81
1oZ3bnG6rK	-4.4
1oZ3bw0GrK	24.46
1oZ3mAllrK	21.67
1oZ3mz1ArK	86.44
1oZ3nqLWrK	39.37
1oZ3yKNnrK	40.41
1oZ3yeNnrK	62.18
1oZ3ynbGrK	31.61
1oZ3yyPlrK	7.28
1oZy0V6gOK	18.93
1oZy0adgOK	11.46
1oZy1m2nOK	37.18
1oZy2k7WOK	33.57
1oZy2zw3OK	16.42
1oZy4aGnOK	13.78
1oZy5P73OK	19.81
1oZy8kQlOK	40.08
