Video_ID	showup	smile_duration	duration	smile_proportion
1006314	0			
1011058	1	0	1560	0.0
1018380	0			
1020088	0			
1021760	0			
1022108	0			
1024862	1	0	3105	0.0
1028030	1	621	1679	0.3698630136986301
1030976	0			
1035472	1	8460	14280	0.592436974789916
1046306	1	1595	25926	0.06152125279642058
1046724	1	3450	3450	1.0
1051430	0			
1053272	1	1104	7320	0.15081967213114755
1053462	1	2460	2460	1.0
1057242	0			
1062092	0			
1070968	1	0	6336	0.0
1073430	1	2430	22350	0.1087248322147651
1078520	1	1537	17748	0.08660130718954248
1091206	1	60	24930	0.0024067388688327317
1095116	1	2130	13740	0.15502183406113537
109988	1	120	4590	0.026143790849673203
1100054	0			
1100504	1	25	15425	0.0016207455429497568
1100510	1	58	12035	0.004819277108433735
1102462	0			
1107954	1	0	6960	0.0
1110470	1	0	1560	0.0
1113822	1	0	3703	0.0
1125506	1	0	90	0.0
1131280	0			
1136912	1	928	12238	0.07582938388625593
1138208	1	180	18810	0.009569377990430622
1154162	0			
116128	0			
1162298	0			
1170626	0			
1172716	1	116	9193	0.012618296529968454
1182080	0			
1185108	1	0	7170	0.0
1187084	0			
1188230	1	2850	10140	0.28106508875739644
1188236	1	390	8730	0.044673539518900345
1200206	0			
1200484	1	360	8790	0.040955631399317405
1202988	1	1410	7140	0.19747899159663865
1208856	1	90	20610	0.004366812227074236
1210588	0			
121372	0			
1218552	0			
1218896	1	0	960	0.0
1220862	1	570	17340	0.0328719723183391
1221004	1	270	7080	0.038135593220338986
1223900	1	2070	29970	0.06906906906906907
1224262	0			
1233350	1	1363	15544	0.08768656716417911
1233778	1	2520	15060	0.16733067729083664
1252312	1	30	9120	0.003289473684210526
1252816	1	0	1140	0.0
1263966	0			
1265646	0			
1267860	1	870	14850	0.05858585858585859
1273030	1	90	35670	0.002523128679562658
1276364	1	7410	27000	0.27444444444444444
1282106	0			
1282650	1	0	13478	0.0
1284012	1	3330	3360	0.9910714285714286
1284912	1	90	7875	0.011428571428571429
1285950	1	0	1410	0.0
1300788	1	0	150	0.0
1301132	1	1479	15689	0.09426987060998152
1301302	1	5190	11610	0.4470284237726098
1302322	1	30	17430	0.0017211703958691911
130298	1	120	1410	0.0851063829787234
1303001	0			
1309874	1	8280	37380	0.22150882825040127
1313406	1	3600	3600	1.0
1316818	1	4740	42450	0.111660777385159
1317578	1	210	8220	0.025547445255474453
1318638	0			
1319136	1	0	720	0.0
1320968	0			
1322900	0			
1326708	1	30	25740	0.0011655011655011655
1327966	1	0	1650	0.0
1329178	0			
1333462	1	3990	20490	0.19472913616398244
1333638	1	2430	2490	0.9759036144578314
1333646	1	2640	2730	0.967032967032967
133428	1	960	28710	0.03343782654127482
1334808	1	0	19800	0.0
1335422	0			
1338478	1	0	1530	0.0
1342930	0			
1345142	1	0	9390	0.0
1345224	1	11490	20250	0.5674074074074074
1345598	1	60	4050	0.014814814814814815
1346028	0			
1349152	1	1110	21120	0.052556818181818184
1349394	1	24	6240	0.0038461538461538464
1349672	1	5700	35940	0.15859766277128548
1350350	0			
1355782	0			
1356742	1	840	5580	0.15053763440860216
1360610	1	3306	16501	0.20035149384885764
1362676	1	4320	36000	0.12
1363174	0			
1368274	1	2880	20610	0.13973799126637554
1377098	1	8400	16200	0.5185185185185185
1381898	0			
1384082	1	60	7050	0.00851063829787234
1388532	0			
1388706	1	2700	15570	0.17341040462427745
1391362	1	3450	17670	0.19524617996604415
1395988	1	0	6030	0.0
1400386	1	600	26280	0.0228310502283105
1400902	1	0	2070	0.0
1401278	0			
1405120	1	1710	1710	1.0
1410116	1	3840	22950	0.16732026143790849
1413832	0			
1416724	1	3630	123270	0.029447554149428085
