Video_ID	Name_of_Tch_1	gender
648826	365 Careers	male
321410	365 Careers	male
965832	365 Careers	male
1035472	365 Careers	male
640100	365 Careers	male
739390	365 Careers	male
358062	365 Careers	male
1461614	365 Careers	male
640062	365 Careers	male
528440	365 Careers	male
2652470	365 Careers	male
1910506	365 Careers	male
2812245	365 Careers	male
3501982	365 Careers	male
3340850	365 Careers	male
4231428	365 Careers	male
964680	Steve Ballinger, MBA	male
1349152	Steve Ballinger, MBA	male
635824	Steve Ballinger, MBA	male
3774922	Steve Ballinger, MBA	male
1474372	Steve Ballinger, MBA	male
2652724	Steve Ballinger, MBA	male
1200484	Steve Ballinger, MBA	male
3637198	Steve Ballinger, MBA	male
3584638	Steve Ballinger, MBA	male
3824020	Steve Ballinger, MBA	male
672682	Steve Ballinger, MBA	male
4095936	Steve Ballinger, MBA	male
664242	Steve Ballinger, MBA	male
1640772	Steve Ballinger, MBA	male
1202988	Chris Haroun	male
888716	Chris Haroun	male
1623098	Chris Haroun	male
1356742	Chris Haroun	male
855172	Chris Haroun	male
730414	Chris Haroun	male
637176	Chris Haroun	male
834558	Chris Haroun	male
637922	Chris Haroun	male
3575637	Chris Haroun	male
1223900	Suppoman ?	male
1400386	Suppoman ?	male
1316818	Suppoman ?	male
3801800	Suppoman ?	male
1628882	Suppoman ?	male
3133458	Suppoman ?	male
48841	Vincent Turner	male
215728	Vincent Turner	male
985922	Tim Vipond	male
43319	Hari Swaminathan	male
765562	Hari Swaminathan	male
43441	Hari Swaminathan	male
44836	Hari Swaminathan	male
42634	Hari Swaminathan	male
42643	Hari Swaminathan	male
45136	Hari Swaminathan	male
42651	Hari Swaminathan	male
474150	Hari Swaminathan	male
41145	Hari Swaminathan	male
42642	Hari Swaminathan	male
42640	Hari Swaminathan	male
42491	Hari Swaminathan	male
474212	Hari Swaminathan	male
45139	Hari Swaminathan	male
42197	Hari Swaminathan	male
42645	Hari Swaminathan	male
44319	Hari Swaminathan	male
1458760	Hari Swaminathan	male
41961	Hari Swaminathan	male
1224262	Hari Swaminathan	male
474928	Hari Swaminathan	male
2577854	The Bearable Bull	male
203732	Nick Kraakman	male
746432	Corey Halliday	male
1170626	Corey Halliday	male
1263966	Corey Halliday	male
1355782	Corey Halliday	male
722174	Corey Halliday	male
716136	Corey Halliday	male
595258	Anthony Jameson	male
133428	Stefan Ignatovski, Ph.D.	male
1051430	Stefan Ignatovski, Ph.D.	male
1300788	Stefan Ignatovski, Ph.D.	male
1335422	Stefan Ignatovski, Ph.D.	male
724596	Stefan Ignatovski, Ph.D.	male
1345598	Stefan Ignatovski, Ph.D.	male
1022108	Stefan Ignatovski, Ph.D.	male
1303001	Stefan Ignatovski, Ph.D.	male
696616	Indian Insight	unknown
1185108	Indian Insight	unknown
986034	Indian Insight	unknown
576906	Indian Insight	unknown
1345142	Indian Insight	unknown
1395988	PrepNuggets | by Keith Tan, CFA	male
1785552	PrepNuggets | by Keith Tan, CFA	male
1692098	PrepNuggets | by Keith Tan, CFA	male
1934778	PrepNuggets | by Keith Tan, CFA	male
2343668	PrepNuggets | by Keith Tan, CFA	male
2276171	PrepNuggets | by Keith Tan, CFA	male
2550757	PrepNuggets | by Keith Tan, CFA	male
2036564	PrepNuggets | by Keith Tan, CFA	male
2412820	PrepNuggets | by Keith Tan, CFA	male
2618758	PrepNuggets | by Keith Tan, CFA	male
713258	Ron Trucks	male
1138208	Ron Trucks	male
