Video_ID	showup	Intensity
1006314	0	
1011058	1	0.6512517744230769
1018380	0	
1020088	0	
1021760	0	
1022108	0	
1024862	1	0.27919580956521733
1028030	1	0.58126046630137
1030976	0	
1035472	1	0.4237710195546217
1046306	1	0.48171966806935096
1046724	1	0.21914455339130443
1051430	0	
1053272	1	0.596445919386885
1053462	1	0.35226332304878055
1057242	0	
1062092	0	
1070968	1	0.7503628143560608
1073430	1	0.5221523656174495
1078520	1	0.4518645414656865
1091206	1	0.40658204182912133
1095116	1	0.46532894690393
109988	1	0.39760343718954266
1100054	0	
1100504	1	0.42820134618800687
1100510	1	0.3560023956337349
1102462	0	
1107954	1	0.5999051118534481
1110470	1	0.31557802519230765
1113822	1	0.24843187
1125506	1	0.19638382666666665
1131280	0	
1136912	1	0.4531008910260665
1138208	1	0.33679049098405095
1154162	0	
116128	0	
1162298	0	
1170626	0	
1172716	1	0.4706134699211353
1182080	0	
1185108	1	0.33430507351464445
1187084	0	
1188230	1	0.49361218099408277
1188236	1	0.6390488305841926
1200206	0	
1200484	1	0.390163098211604
1202988	1	0.37678915497478976
1208856	1	0.35535317699126645
1210588	0	
121372	0	
1218552	0	
1218896	1	0.32555907375
1220862	1	0.5174683471868515
1221004	1	0.6129972910593219
1223900	1	0.4703355891321318
1224262	0	
1233350	1	0.4038275825074624
1233778	1	0.42284092915737076
1252312	1	0.7074526800657893
1252816	1	0.14550063194736848
1263966	0	
1265646	0	
1267860	1	0.4103471887272724
1273030	1	0.5679552449453316
1276364	1	0.3770851060088887
1282106	0	
1282650	1	0.5894864733447105
1284012	1	0.21922753437500003
1284912	1	0.3128354801714284
1285950	1	0.143885016787234
1300788	1	0.38112496399999995
1301132	1	0.24366231044362277
1301302	1	0.32586371261757113
1302322	1	0.4621106733907058
130298	1	0.24535401674468083
1303001	0	
1309874	1	0.36201067913964674
1313406	1	0.23072698333333325
1316818	1	0.3805194486413422
1317578	1	0.3582917673759125
1318638	0	
1319136	1	0.3129536083333333
1320968	0	
1322900	0	
1326708	1	0.4884829686013987
1327966	1	0.5139831874545453
1329178	0	
1333462	1	0.3890363029721812
1333638	1	0.2145881975783131
1333646	1	0.246704803978022
133428	1	0.41006995694043896
1334808	1	0.3942764859242421
1335422	0	
1338478	1	0.42133450392156846
1342930	0	
1345142	1	0.2639291406932909
