Id,Title,Blurb,Category_A,Category_B,Category_C,Language,Length_of_Video,Marked_Price,Rating,Reviews_Num,Selling_Price,Students_Num,Students_of_Tch_1,Name_of_Tch_1,Courses_of_Tch_1,Reviews_of_Tch_1,Rating_of_Tch_1,Url
648826,The Complete Financial Analyst Course 2021,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",Finance & Accounting,Financial Modeling & Analysis,Financial Analysis,English,18.5 hours,109.99,4.5653076,61510,11.99,310728,1627132,365 Careers,77,481343,4.555029251,https://www.udemy.com/course/the-complete-financial-analyst-course/
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,Finance & Accounting,Financial Modeling & Analysis,Financial Modeling,English,14 hours,119.99,4.554409,37247,12.99,158161,1627132,365 Careers,77,481343,4.555029251,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
964680,Investing In Stocks  The Complete Course! (13 Hour),Master Stock Market Investing & Trading in the Stock Market. Top Instructor & Millionaire Investor. Investing & Trading,Finance & Accounting,Investing & Trading,Stock Trading,English,13.5 hours,99.99,4.4275413,29531,11.99,152724,382185,"Steve Ballinger, MBA",35,52126,4.463459839,https://www.udemy.com/course/investing-in-stocks/
1202988,The Complete Financial Analyst Training & Investing Course,"Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital",Finance & Accounting,Investing & Trading,Financial Analysis,English,22.5 hours,124.99,4.574907,27608,21.99,228096,1123093,Chris Haroun,59,176764,4.524776514,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/
965832,The Complete Investment Banking Course 2021,"The #1 Course to Land a Job in Investment Banking. IPOs, Bonds, M&A, Trading, LBOs, Valuation: Everything is included!",Finance & Accounting,Financial Modeling & Analysis,Investment Banking,English,9 hours,109.99,4.5447392,26554,19.99,113164,1627516,365 Careers,77,481339,4.555029251,https://www.udemy.com/course/the-complete-investment-banking-course-2016/
888716,"Introduction to Finance, Accounting, Modeling and Valuation","Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC",Finance & Accounting,Accounting & Bookkeeping,Accounting,English,4.5 hours,119.99,4.48625,24207,20.99,169322,1123093,Chris Haroun,59,176764,4.524776514,https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/
1035472,Python for Finance: Investment Fundamentals & Data Analytics,Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,Finance & Accounting,Financial Modeling & Analysis,Python,English,9 hours,119.99,4.6425047,23139,20.99,108212,1627516,365 Careers,77,481339,4.555446232,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/
1223900,Cryptocurrency Investment Course 2021: Fund your Retirement!,"Complete A-Z Guide to Bitcoin, Blockchain, Ethereum, Altcoins, Metaverse, NFT, DeFi & investing to fund your retirement!",Finance & Accounting,Cryptocurrency & Blockchain,Cryptocurrency,English,13.5 hours,84.99,4.664514,15609,14.99,64481,378239,Suppoman ?,31,43968,4.464631189,https://www.udemy.com/course/cryptocurrency/
1623098,The Complete Cryptocurrency Course: More than 5 Courses in 1,"Learn everything you need to know about cryptocurrency and blockchain, including investing, mining and much more!",Finance & Accounting,Cryptocurrency & Blockchain,Cryptocurrency,English,24 hours,99.99,4.5700126,10897,17.99,120544,1122457,Chris Haroun,59,176550,4.525178867,https://www.udemy.com/course/the-complete-cryptocurrency-course-more-than-5-courses-in-1/
48841,Accounting in 60 Minutes - A Brief Introduction,Learn the very basics of accounting in just about an hour.,Finance & Accounting,Accounting & Bookkeeping,Accounting,English,1 hour,34.99,4.5104995,10582,14.99,83943,89168,Vincent Turner,3,11013,4.487801189,https://www.udemy.com/course/accounting-in-60-minutes-a-brief-introduction/
