Video_ID	Name_of_Tch_1	gender
655608	Josh Paulsen	male
2108272	Alexis Haselberger	male
2998050	Alexis Haselberger	male
941752	Jeff Tan	male
1210442	Andrew Luttrell, Ph.D.	male
791690	Andrew Luttrell, Ph.D.	male
666956	Andrew Luttrell, Ph.D.	male
1415562	Andrew Luttrell, Ph.D.	male
650794	Andrew Luttrell, Ph.D.	male
500014	Andrew Luttrell, Ph.D.	male
1532040	Patrick Dang	male
1782908	Patrick Dang	male
1586110	Patrick Dang	male
466736	Gregory Caremans - Brain Academy	male
836842	Gregory Caremans - Brain Academy	male
277654	Gregory Caremans - Brain Academy	male
382966	Gregory Caremans - Brain Academy	male
361272	Gregory Caremans - Brain Academy	male
836874	Gregory Caremans - Brain Academy	male
1278936	Gregory Caremans - Brain Academy	male
945390	Gregory Caremans - Brain Academy	male
1412368	Gregory Caremans - Brain Academy	male
566378	Gregory Caremans - Brain Academy	male
1436164	Samara Wenten	female
477888	Chris Croft	male
1918258	Chris Croft	male
2355474	Chris Croft	male
3805684	Chris Croft	male
2355482	Chris Croft	male
1918256	Chris Croft	male
2727128	Chris Croft	male
2964360	Chris Croft	male
120600	Alexa Fischer	female
1258722	Alexa Fischer	female
19645	Alexa Fischer	female
1561606	Clare Lynch	female
3475640	John Rampton	male
2600276	Piotr Nabielec	male
1350272	Himesh Trivedi	male
479988	Denise Fletcher	female
586176	Denise Fletcher	female
988524	Lawrence M. Miller, Institute for Leadership Excellence	male
1136898	Lawrence M. Miller, Institute for Leadership Excellence	male
378718	Lawrence M. Miller, Institute for Leadership Excellence	male
370166	Lawrence M. Miller, Institute for Leadership Excellence	male
810960	Lawrence M. Miller, Institute for Leadership Excellence	male
1434492	Brad Merrill	male
1007674	Life Progression Project	female
1329878	Life Progression Project	female
1067526	Life Progression Project	female
1125316	Life Progression Project	female
1065962	Life Progression Project	female
1458490	Reneice Charles	female
1299614	Everett Bowes	male
2787956	Diane Flynn	female
802818	Kara Ronin	female
1284952	Kara Ronin	female
2522376	Ritu Riyat	female
615274	Tom Rath	male
1116388	Martin Meadows	male
720732	Martin Meadows	male
1054452	Martin Meadows	male
963970	Martin Meadows	male
563556	Joseph Liu	male
2323470	Alex Genadinik	male
2219428	Alex Genadinik	male
924746	Alex Genadinik	male
