Video_ID	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1_x	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url	showup	smile_proportion	beginning	middle	end	Intensity	asymmetry	beauty	quality	video_length	Name_of_Tch_1_y	gender	path	preview	male	description_length	log_description_length
19645	Pitch Yourself! Learn to Ignite Curiosity + Inspire Action.	"Learn to speak about your work with clarity, ease and authenticity. Never fear the question, ""What do you do?"" again!"	Personal Development	Influence	Personal Networking	English	1.5 hours	44.99	4.448529	3702	11.99	17905	141886	Alexa Fischer	13	35457	4.494911400647949	https://www.udemy.com/course/market-your-message-ignite-curiosity-inspire-action/	1.0	0.00418410041841	0.0125	0.0	0.0	0.4017479537866111	0.4468040831048877	3.3967754999999995	0.7286017537117004	87.83775	Alexa Fischer	female	/home/xyubl/Downloads/pd_201-300/19645.mp4	1	0	20	2.995732273553991
30203	Electronics S1W1: Basic Terminology and Schematic Symbols	Intro to Electronics: Learn about bonding, conductors, insulators, terminology & schematic symbols (Semester 1, Week 1)	Personal Development	Career Development	Electronics	English	3 hours	24.99	4.447764	330	9.99	1358	4506	Richard Vannoy II	7	1127	4.517913371794871	https://www.udemy.com/course/electronics-week-01/	0.0								0.7689678072929382	239.9333333333333	Richard Vannoy II	male	/home/xyubl/Downloads/pd_401-500/30203.mp4	1	1	16	2.772588722239781
33145	Speed Reading for Work and Leisure.	Speed Reading is a skill that can be learnt. Blast through books, documents and social media. Guaranteed 33% improvement	Personal Development	Memory & Study Skills	Speed Reading	English	2 hours	69.99	3.937628	296	9.99	16951	24818	Alex Garcez	4	488	4.071218166666666	https://www.udemy.com/course/speed-reading/	1.0	0.1582446808510638	0.2270916334661354	0.1593625498007968	0.088	0.4850395898736704	0.906043588932839	2.48594923351064	0.8987225294113159	163.68	Alex Garcez	male	/home/xyubl/Downloads/pd_501-600/33145.mp4	1	1	19	2.9444389791664403
36090	Cut the Time E-mail Steals from You by Half	The 7 Keys to E-mail Control gives you back your time and concentration	Personal Development	Other Personal Development	Email Productivity Hacks	English	1 hour	49.99	4.4435163	464	9.99	2363	10260	7 Keys Solutions	5	1834	4.301999315267175	https://www.udemy.com/course/7keys-to-e-mail-control/	1.0	0.0654121863799283	0.1129032258064516	0.0295698924731182	0.053763440860215	0.4931050170931906	0.8910245598393826	2.466283689784943	0.7962337136268616	218.46825	7 Keys Solutions	male	/home/xyubl/Downloads/pd_501-600/36090.mp4	1	1	13	2.5649493574615367
37868	Basic Speed Reading for IT Professionals	Develop your mind to think faster, get more focused and work smarter. I guarantee that you will read at least 33% faster	Personal Development	Memory & Study Skills	Speed Reading	English	2 hours	69.99	4.609195	103	9.99	11346	24818	Alex Garcez	4	488	4.071218166666666	https://www.udemy.com/course/programmer/											Alex Garcez	male		0	1	22	3.091042453358316
38034	Learning How to Learn From Video Courses	Stop watching online Courses like a movie, and start learning for real. It's possible.	Personal Development	Memory & Study Skills	Learning Strategies	English	3.5 hours	84.99	4.4635415	2285	9.99	8167	15535	Katya Seberson	4	2474	4.418342710059172	https://www.udemy.com/course/katyaseberson/	1.0	0.1838235294117647	0.1373626373626373	0.1933701657458563	0.2209944751381215	0.6851091536930153	0.4345564513727458	2.2833847775735303	0.740544855594635	105.57223890557223	Katya Seberson	female	/home/xyubl/Downloads/pd_601-700/38034.mp4	1	0	14	2.6390573296152584
47285	Mind Mapping Mastery –> Effective Mind Maps -> Step by Step	Mind Mapping - SMART Productivity and Memory Tool: Think Clearly, Organise, & Plan better; Study, Learn, & Recall Faster	Personal Development	Memory & Study Skills	Mind Mapping	English	7.5 hours	99.99	4.435002	3667	10.99	31667	42866	Barry Mapp	11	4405	4.398626918604651	https://www.udemy.com/course/the-secrets-of-effective-mind-mapping/	1.0	0.0	0.0	0.0	0.0	0.4449821208946606	0.6892772477614012	1.9765562481962489	0.6751007437705994	167.46666666666667	Barry Mapp	male	/home/xyubl/Downloads/pd_601-700/47285.mp4	1	1	19	2.9444389791664403
47929	How learning The 12 Universal Laws will change your life	Learn how universal laws are governing your life and how you can utilise this knowledge to improve your life.	Personal Development	Personal Transformation	Manifestation and Law of Attraction	English	4 hours	199.99	4.8132167	122	199.99	1634	1634	Camillo Loken	1	122	4.812778	https://www.udemy.com/course/universal-laws/	0.0	0.0	0.0	0.0	0.0	0.4646959043333334	0.3515193628471842	2.84322474	0.6374900937080383	88.2	Camillo Loken	male	/home/xyubl/Downloads/pd_601-700/47929.mp4	1	1	19	2.9444389791664403
48424	Your Job Search Is A Spiritual Journey	A holistic approach to finding your next job, doing your work and making your life more meaningful.	Personal Development	Career Development	Job Search	English	1.5 hours	19.99	3.9960752	121	9.99	7519	98264	Angela R Loeb	8	927	3.740747054285714	https://www.udemy.com/course/your-job-search/	1.0	0.174025974025974	0.1167315175097276	0.0778210116731517	0.328125	0.3918537258012986	0.5679118947187153	3.643261765194809	0.6182106137275696	149.98316666666668	Angela R Loeb	female	/home/xyubl/Downloads/pd_601-700/48424.mp4	1	0	17	2.833213344056216
52253	Building Sacred Relationships That Stand The Test of Time	In this course we examine divine relationships. Sacred sexuality, science and how to create & build real relationships.	Personal Development	Happiness	Relationship Building	English	3 hours	94.99	4.18453	161	10.99	1160	35837	Cha~zay Sandhriel Ph.D.	21	4214	4.599450465439094	https://www.udemy.com/course/relationships/	1.0	0.4320987654320987	0.0	0.8148148148148148	0.4814814814814814	0.3176378173654322	0.9372017218658142	2.840964061728394	0.7786626815795898	183.2333333333333	Cha~zay Sandhriel Ph.D.	female	/home/xyubl/Downloads/pd_601-700/52253.mp4	1	0	18	2.8903717578961645
62086	Electronics Engineering Technology Fundamentals-Updated-2020	Electronics circuits including: Direct current (DC), alternating current (AC), digital circuits (DigC), and solid state.	Personal Development	Career Development	Electrical Engineering	English	3 hours	19.99	4.050293	705	9.99	9275	47816	Dr. Oscar Rodriguez, DET	14	2654	3.91133621969697	https://www.udemy.com/course/electronics-engineering-technology-fundamentals/	0.0	0.0	0.0	0.0	0.0	0.4815443101639342	1.2544791577058427	2.410956388524591	0.6266202330589294	161.73333333333332	Dr. Oscar Rodriguez, DET	male	/home/xyubl/Downloads/pd_701-800/62086.mp4	1	1	15	2.70805020110221
63594	Predict Consumer Decisions with Choice-Based Conjoint	A course showing managers and researchers how to run Choice Based Conjoint experiments to predict people's decisions	Personal Development	Other Personal Development	Decision Making	English	4.5 hours	79.99	3.9151852	237	9.99	2188	2235	Luke Greenacre	1	237	3.9151852	https://www.udemy.com/course/learningcbc/	0.0								0.7695949077606201	101.0	Luke Greenacre	male	/home/xyubl/Downloads/pd_701-800/63594.mp4	1	1	17	2.833213344056216
66143	How to Brand Yourself and Your Business	Create a Unique and Compelling Brand That Sets You Apart from Everyone Else Who Does What You Do	Personal Development	Personal Brand Building	Business Branding	English	2 hours	94.99	4.4249105	482	10.99	4592	26616	Debbie LaChusa	17	4319	4.576749937198067	https://www.udemy.com/course/how-to-brand-yourself-and-your-business/	1.0	0.2195540308747856	0.2102564102564102	0.190721649484536	0.2577319587628865	0.4422858065283018	0.6809791811552509	2.64097245368782	0.6663094162940979	116.66666666666669	Debbie LaChusa	female	/home/xyubl/Downloads/pd_701-800/66143.mp4	1	0	18	2.8903717578961645
73210	Computer Organization and How to Organize Computer Files	Discover how to create Virtual Filing Cabinets and how to organize everything on your computer. Go Paperless today.	Personal Development	Other Personal Development	Computer Organization	English	2 hours	29.99	4.2474084	489	11.99	2150	2267	Burt Richard	2	515	4.153384695652174	https://www.udemy.com/course/computer-organization-and-how-to-organize-computer-files/	0.0	0.0	0.0	0.0	0.0	0.3240588320754717	1.3170950534432455	3.183193473584904	0.7529328465461731	96.7032967032967	Burt Richard	male	/home/xyubl/Downloads/pd_701-800/73210.mp4	1	1	18	2.8903717578961645
83470	SMART LEARNING -All About your Brain & Learning How to Learn	Find learning success with Learner strategies and Memory Secrets; + Mind Mapping, MindMaps, Neuroscience	Personal Development	Memory & Study Skills	Learning Strategies	English	3 hours	49.99	4.282495	143	9.99	3646	42872	Barry Mapp	11	4405	4.398626918604651	https://www.udemy.com/course/learning-success/	1.0	0.0795454545454545	0.0	0.1931818181818181	0.0454545454545454	0.3963187872954544	0.545252225914333	2.593058398106062	0.842322051525116	83.16666666666667	Barry Mapp	male	/home/xyubl/Downloads/pd_801-897/83470.mp4	1	1	14	2.6390573296152584
