Id	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url
655608	Productivity and Time Management for the Overwhelmed	A complete productivity and time management course designed to help you reduce your overwhelm and increase your results.	Personal Development	Personal Productivity	Personal Productivity	English	2 hours	74.99	4.52155	42577	11.99	115757	116389	Josh Paulsen	2	42636	4.518752111083591	https://www.udemy.com/course/productivity-and-time-management/
2108272	Time Management Mastery: Do More, Stress Less	Take control of your time, your to-do list, and your overwhelm. Learn how to get it all done, without the stress.	Personal Development	Personal Productivity	Time Management	English	2 hours	89.99	4.458275	23109	9.99	57107	59173	Alexis Haselberger	2	24111	4.461001188034651	https://www.udemy.com/course/do-more-stress-less/
941752	Storytelling to Influence	How to use stories to influence decision makers in the audience!	Personal Development	Influence	Storytelling	English	1 hour	59.99	4.393264	21585	9.99	42472	47342	Jeff Tan	3	22472	4.391371170767004	https://www.udemy.com/course/storytellingtoinfluence/
1210442	Psychology of Diversity and Unconscious Bias	Understand Stereotypes, Prejudice, and Discrimination and How to Reduce Their Influence at Work and Your Community	Personal Development	Career Development	Diversity and Inclusion	English	2.5 hours	94.99	4.4824777	17329	11.99	34796	267325	Andrew Luttrell, Ph.D.	15	56192	4.489949635756015	https://www.udemy.com/course/psychology-diversity-unconscious-bias-discrimination/
1532040	Productivity Machine: Time Management & Productivity Hacks	Productivity & Time Management Strategies for Goal Setting, Eliminating Distractions, & Building Habits for Success.	Personal Development	Personal Productivity	Personal Productivity	English	2.5 hours	94.99	4.4914536	16032	10.99	36067	122937	Patrick Dang	8	40505	4.485567624555792	https://www.udemy.com/course/productivitymachine/
466736	Stress Management: 40+ easy ways to deal with stress	Stress relief and burnout prevention. Don't let stress control your life. Beat anxiety and worries. Live, Laugh, Love.	Personal Development	Stress Management	Stress Management	English	1 hour	99.99	4.5029745	15400	13.99	47932	392532	Gregory Caremans - Brain Academy	15	75086	4.56212836567674	https://www.udemy.com/course/stress-management-40-easy-ways-to-deal-with-stress/
1436164	Customer Service: Soft Skills Fundamentals	How to keep your head when everyone else is losing theirs	Personal Development	Career Development	Customer Service	English	39 mins	19.99	4.511474	13976	9.99	37173	37195	Samara Wenten	1	13976	4.514814	https://www.udemy.com/course/customer-service-soft-skills-fundamentals/
477888	Successful Negotiation: Master Your Negotiating Skills	Master negotiation with these negotiating tips	Personal Development	Influence	Negotiation	English	2 hours	94.99	4.5752716	13534	13.99	50202	319737	Chris Croft	29	140606	4.58472293949724	https://www.udemy.com/course/a-practical-guide-to-negotiating/
836842	Neuroplasticity: How To Rewire Your Brain	How to develop mental flexibility, change habits, stop procrastination and alter memories based on neuroscience research	Personal Development	Motivation	Neuroplasticity	English	4 hours	139.99	4.600289	13408	15.99	95395	392532	Gregory Caremans - Brain Academy	15	75086	4.56212836567674	https://www.udemy.com/course/neuroplasticity/
120600	Radiate Confidence: How to Create a 1000 Watt Presence	Helping you unlock your inner light, or presence, so you can easily, effortlessly connect with everyone you meet.	Personal Development	Influence	Confidence	English	5 hours	124.99	4.498124	12866	13.99	71846	141929	Alexa Fischer	13	35457	4.494911400647949	https://www.udemy.com/course/1000-watt-presence/
1561606	Working Remotely: How To Succeed In The New Workplace	A how-to guide for remote workers - and those who work with them	Personal Development	Personal Productivity	Working Remotely	English	1 hour	39.99	4.4880657	12554	9.99	33407	148662	Clare Lynch	11	48515	4.511850641431924	https://www.udemy.com/course/working-remotely/
3475640	Critical Thinking Strategies For Better Decisions	Upgrade your problem solving skills and optimize business outcomes by applying the critical thinking process.	Personal Development	Career Development	Critical Thinking	English	1 hour	19.99	4.3576226	12522	9.99	21389	21423	John Rampton	1	12522	4.356947	https://www.udemy.com/course/critical-thinking-strategies/
2600276	Practical Time Management - Personal Productivity Tools	Time management tools that will improve your productivity and work and life satisfaction	Personal Development	Personal Productivity	Time Management	English	1.5 hours	34.99	4.5278034	11723	9.99	20405	20405	Piotr Nabielec	1	11723	4.526467	https://www.udemy.com/course/practical-time-management-nabielec/
1350272	Goal Setting Mastery Course	Define your WHY and align it to your goals & create a step by step blueprint to plan, implement & achieve your goals	Personal Development	Motivation	Goal Setting	English	1.5 hours	84.99	4.4075217	11088	9.99	18201	19559	Himesh Trivedi	2	11090	4.37988988973232	https://www.udemy.com/course/goal-setting-mastery-course/
479988	Boost Your Career Success by Developing Your Soft Skills	Assess your personal development skill gaps with the Success@Work Model. Create your action plan to boost career success	Personal Development	Career Development	Personal Development	English	1 hour	49.99	4.4730005	10574	9.99	17287	47098	Denise Fletcher	8	14954	4.465504356609411	https://www.udemy.com/course/personal-development-for-success/
988524	Management Skills: New Manager Training in Essential Skills	Management Skills Certification in Developing People, Leading Teams & Process Improvement	Personal Development	Leadership	Management Skills	English	11 hours	119.99	4.5188	10508	13.99	54358	166161	Lawrence M. Miller, Institute for Leadership Excellence	17	55738	4.52761737167648	https://www.udemy.com/course/the-new-manager-managing-people-teams-processes/
1434492	Modern Productivity — Superhuman Focus In A Distracted Worl	Boost your productivity, reclaim your focus, and achieve your goals with this proven approach to personal productivity!	Personal Development	Personal Productivity	Personal Productivity	English	2 hours	119.99	4.5843015	10495	13.99	35841	102183	Brad Merrill	8	27717	4.581690395974842	https://www.udemy.com/course/modern-productivity/
1007674	How to be Successful: Create A Growth Mindset For Success	Learn to create a growth mindset that attracts success. Create & achieve your goals, learn how successful people think!	Personal Development	Personal Transformation	Growth Mindset	English	1 hour	84.99	4.474882	10307	9.99	39369	314505	Life Progression Project	40	88095	4.465021380808857	https://www.udemy.com/course/growth-mindset-learn-to-shift-your-mindset-to-reach-success/
1458490	Work From Home: Where to Start and How to Succeed	How to get started, organized, increase efficiency, and maximize productivity while working in your home environment.	Personal Development	Personal Productivity	Personal Productivity	English	1.5 hours	69.99	4.434069	10255	9.99	20988	20995	Reneice Charles	1	10255	4.3843265	https://www.udemy.com/course/working-effectively-from-home/
1299614	Active Listening Masterclass	Stop Hearing; Start Listening. Transform Your Business Now.	Personal Development	Leadership	Listening Skills	English	31 mins	19.99	4.426858	10103	9.99	32161	39600	Everett Bowes	5	11837	4.442507714683368	https://www.udemy.com/course/active-listening/
277654	Master your brain: Neuroscience for personal development	Discover how this approach can help with stress, self confidence, motivation, change, communication, relations, ...	Personal Development	Personal Transformation	Neuroscience	English	8 hours	149.99	4.5703154	9423	16.99	67718	392532	Gregory Caremans - Brain Academy	15	75086	4.56212836567674	https://www.udemy.com/course/my-brain-and-i/
